19:50:53 INFO  | ============================================================
19:50:53 INFO  | 📈 PAPER TRADING BOT
19:50:53 INFO  | ============================================================
19:50:53 INFO  | Coins: BTC, ETH, SOL, XRP
19:50:53 INFO  | Data: /root/bookpoly/data/raw/books
19:50:53 INFO  | 
19:50:53 INFO  | Parâmetros (docs/LOGICA_BOT.md):
19:50:53 INFO  |   Bankroll: $100
19:50:53 INFO  |   Size/trade: $5 (fixo)
19:50:53 INFO  |   Max trades/dia: 20
19:50:53 INFO  |   Max perda/dia: $25
19:50:53 INFO  |   Max posições: 3
19:50:53 INFO  |   Time Gate: 30s-240s
19:50:53 INFO  |   Spread Gate: ≤10%
19:50:53 INFO  |   Volatility Gate: ≤100%
19:50:53 INFO  |   Min Depth: $300
19:50:53 INFO  |   Forced Entry: prob≥95% + ≤2min
19:50:53 INFO  | ============================================================
19:51:01 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=65.5% zone=neutral score=0.31 | spread=4.6% depth=$10884 vol=51% | persist=0s remain=540s | ○ NO_ENTER
19:51:02 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=72.5% zone=neutral score=0.50 | spread=1.4% depth=$77484 vol=42% | persist=0s remain=539s | ○ NO_ENTER
19:51:02 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=53.5% zone=neutral score=0.39 | spread=1.9% depth=$24136 vol=55% | persist=0s remain=539s | ○ NO_ENTER
19:51:02 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=66.5% zone=neutral score=0.40 | spread=1.5% depth=$14422 vol=71% | persist=0s remain=539s | ○ NO_ENTER
19:51:02 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=65.0% zone=neutral score=0.31 | spread=3.1% depth=$10911 vol=51% | persist=0s remain=539s | ○ NO_ENTER
19:51:03 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=69.5% zone=neutral score=0.41 | spread=1.4% depth=$76528 vol=42% | persist=0s remain=538s | ○ NO_ENTER
19:51:03 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=49.5% zone=neutral score=0.56 | spread=2.0% depth=$34647 vol=55% | persist=0s remain=538s | ○ NO_ENTER
19:51:03 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.39 | spread=1.6% depth=$14275 vol=71% | persist=0s remain=538s | ○ NO_ENTER
19:51:03 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=59.5% zone=neutral score=0.39 | spread=1.7% depth=$10796 vol=51% | persist=0s remain=538s | ○ NO_ENTER
19:51:04 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=69.5% zone=neutral score=0.41 | spread=1.4% depth=$77300 vol=42% | persist=0s remain=537s | ○ NO_ENTER
19:51:04 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=49.5% zone=neutral score=0.50 | spread=2.0% depth=$35056 vol=55% | persist=0s remain=537s | ○ NO_ENTER
19:51:04 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.40 | spread=1.6% depth=$14505 vol=71% | persist=0s remain=537s | ○ NO_ENTER
19:51:04 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=60.5% zone=neutral score=0.38 | spread=1.7% depth=$10865 vol=51% | persist=0s remain=537s | ○ NO_ENTER
19:51:05 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=69.5% zone=neutral score=0.46 | spread=1.4% depth=$77930 vol=42% | persist=0s remain=536s | ○ NO_ENTER
19:51:05 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=49.5% zone=neutral score=0.52 | spread=2.0% depth=$34881 vol=55% | persist=0s remain=536s | ○ NO_ENTER
19:51:05 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.32 | spread=1.6% depth=$14603 vol=71% | persist=0s remain=536s | ○ NO_ENTER
19:51:05 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=59.5% zone=neutral score=0.35 | spread=1.7% depth=$10908 vol=51% | persist=0s remain=536s | ○ NO_ENTER
19:51:06 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=69.5% zone=neutral score=0.46 | spread=1.4% depth=$77920 vol=42% | persist=0s remain=535s | ○ NO_ENTER
19:51:06 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=53.5% zone=neutral score=0.41 | spread=1.9% depth=$25522 vol=55% | persist=0s remain=535s | ○ NO_ENTER
19:51:06 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.42 | spread=1.6% depth=$14885 vol=71% | persist=0s remain=535s | ○ NO_ENTER
19:51:06 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=61.5% zone=neutral score=0.36 | spread=1.6% depth=$10974 vol=51% | persist=0s remain=535s | ○ NO_ENTER
19:51:07 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=70.5% zone=neutral score=0.48 | spread=1.4% depth=$76806 vol=42% | persist=0s remain=534s | ○ NO_ENTER
19:51:07 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=53.5% zone=neutral score=0.45 | spread=1.9% depth=$25420 vol=55% | persist=0s remain=534s | ○ NO_ENTER
19:51:07 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.44 | spread=1.6% depth=$15232 vol=71% | persist=0s remain=534s | ○ NO_ENTER
19:51:07 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=61.5% zone=neutral score=0.36 | spread=1.6% depth=$10955 vol=51% | persist=0s remain=534s | ○ NO_ENTER
19:51:08 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=72.5% zone=neutral score=0.49 | spread=1.4% depth=$76611 vol=42% | persist=0s remain=533s | ○ NO_ENTER
19:51:08 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=53.5% zone=neutral score=0.42 | spread=1.9% depth=$25455 vol=55% | persist=0s remain=533s | ○ NO_ENTER
19:51:08 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.33 | spread=1.6% depth=$14680 vol=71% | persist=0s remain=533s | ○ NO_ENTER
19:51:08 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.35 | spread=1.6% depth=$10867 vol=51% | persist=0s remain=533s | ○ NO_ENTER
19:51:09 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=72.5% zone=neutral score=0.49 | spread=1.4% depth=$76612 vol=42% | persist=0s remain=532s | ○ NO_ENTER
19:51:09 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=53.5% zone=neutral score=0.43 | spread=1.9% depth=$25964 vol=55% | persist=0s remain=532s | ○ NO_ENTER
19:51:09 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.38 | spread=1.6% depth=$14787 vol=71% | persist=0s remain=532s | ○ NO_ENTER
19:51:09 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.36 | spread=1.6% depth=$10869 vol=51% | persist=0s remain=532s | ○ NO_ENTER
19:51:10 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=73.5% zone=neutral score=0.52 | spread=1.4% depth=$76602 vol=42% | persist=0s remain=531s | ○ NO_ENTER
19:51:10 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=53.5% zone=neutral score=0.43 | spread=1.9% depth=$26375 vol=55% | persist=0s remain=531s | ○ NO_ENTER
19:51:10 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.38 | spread=1.6% depth=$14728 vol=71% | persist=0s remain=531s | ○ NO_ENTER
19:51:10 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.35 | spread=1.6% depth=$10912 vol=51% | persist=0s remain=531s | ○ NO_ENTER
19:51:11 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=73.5% zone=neutral score=0.52 | spread=1.4% depth=$76055 vol=42% | persist=0s remain=530s | ○ NO_ENTER
19:51:11 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=53.5% zone=neutral score=0.43 | spread=1.9% depth=$26082 vol=55% | persist=0s remain=530s | ○ NO_ENTER
19:51:11 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.40 | spread=1.6% depth=$14941 vol=71% | persist=0s remain=530s | ○ NO_ENTER
19:51:11 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.35 | spread=1.6% depth=$10912 vol=51% | persist=0s remain=530s | ○ NO_ENTER
