window_start,market,entry_ts,side,prob_at_entry,prob_favorite,entry_price,remaining_s,spread,spread_pct,bid_depth,ask_depth,total_depth,imbalance,latency_ms,outcome,won,pnl
2026-02-05T07:00:00,XRP15m,2026-02-05T07:11:00.971000,DOWN,0.0175,0.9825,0.9825,239.0,0.0150,1.53,1961,2110,4072,-0.0367,221,DOWN,YES,+0.0175
2026-02-05T07:30:00,XRP15m,2026-02-05T07:41:00.610000,DOWN,0.0105,0.9895,0.9895,239.4,0.0010,0.10,1653,2748,4401,-0.2487,235,DOWN,YES,+0.0105
2026-02-05T07:45:00,XRP15m,2026-02-05T07:56:00.578000,DOWN,0.0025,0.9975,0.9975,239.4,0.0010,0.10,576,1835,2411,-0.5222,180,DOWN,YES,+0.0025
2026-02-05T08:15:00,XRP15m,2026-02-05T08:27:01.902000,DOWN,0.0150,0.9850,0.9850,178.1,0.0100,1.02,1660,1781,3440,-0.0352,289,DOWN,YES,+0.0150
2026-02-05T08:30:00,XRP15m,2026-02-05T08:41:00.979000,UP,0.9900,0.9900,0.9900,239.0,0.0000,0.00,3248,0,3248,1.0000,244,UP,YES,+0.0100
2026-02-05T08:45:00,XRP15m,2026-02-05T08:57:24.249000,DOWN,0.0150,0.9850,0.9850,155.8,0.0100,1.02,872,1887,2758,-0.3679,204,DOWN,YES,+0.0150
2026-02-05T09:00:00,XRP15m,2026-02-05T09:12:38.199000,UP,0.9550,0.9550,0.9550,141.8,0.0100,1.05,3902,3641,7543,0.0345,184,UP,YES,+0.0450
2026-02-05T09:30:00,XRP15m,2026-02-05T09:42:41.319000,DOWN,0.0450,0.9550,0.9550,138.7,0.0100,1.05,3156,3791,6947,-0.0914,188,DOWN,YES,+0.0450
2026-02-05T09:45:00,XRP15m,2026-02-05T09:58:24.012000,UP,0.9650,0.9650,0.9650,96.0,0.0100,1.04,3733,3667,7400,0.0089,176,UP,YES,+0.0350
2026-02-05T10:00:00,XRP15m,2026-02-05T10:13:38.134000,DOWN,0.0450,0.9550,0.9550,81.9,0.0100,1.05,3068,4234,7301,-0.1597,195,DOWN,YES,+0.0450
2026-02-05T10:15:00,XRP15m,2026-02-05T10:26:21.707000,DOWN,0.0150,0.9850,0.9850,218.3,0.0100,1.02,2127,2150,4277,-0.0053,181,DOWN,YES,+0.0150
2026-02-05T10:30:00,XRP15m,2026-02-05T10:42:14.619000,UP,0.9550,0.9550,0.9550,165.4,0.0100,1.05,4087,3623,7710,0.0603,177,UP,YES,+0.0450
2026-02-05T11:00:00,XRP15m,2026-02-05T11:12:17.778000,UP,0.9550,0.9550,0.9550,162.2,0.0100,1.05,4231,4181,8412,0.0059,164,UP,YES,+0.0450
2026-02-05T11:15:00,XRP15m,2026-02-05T11:28:11.953000,UP,0.9550,0.9550,0.9550,108.0,0.0100,1.05,4274,3740,8014,0.0666,270,UP,YES,+0.0450
2026-02-05T11:30:00,XRP15m,2026-02-05T11:41:00.688000,UP,0.9750,0.9750,0.9750,239.3,0.0100,1.03,4269,3147,7416,0.1513,186,UP,YES,+0.0250
2026-02-05T11:45:00,XRP15m,2026-02-05T11:56:07.214000,DOWN,0.0250,0.9750,0.9750,232.8,0.0100,1.03,3370,3570,6940,-0.0289,183,DOWN,YES,+0.0250
2026-02-05T12:00:00,XRP15m,2026-02-05T12:11:00.950000,DOWN,0.0150,0.9850,0.9850,239.0,0.0100,1.02,2750,4289,7039,-0.2185,261,DOWN,YES,+0.0150
2026-02-05T12:15:00,XRP15m,2026-02-05T12:26:17.271000,DOWN,0.0450,0.9550,0.9550,222.7,0.0100,1.05,3915,3939,7854,-0.0031,183,DOWN,YES,+0.0450
2026-02-05T12:30:00,XRP15m,2026-02-05T12:41:56.490000,UP,0.9650,0.9650,0.9650,183.5,0.0100,1.04,4557,4393,8950,0.0183,194,UP,YES,+0.0350
2026-02-05T12:45:00,XRP15m,2026-02-05T12:59:02.617000,DOWN,0.0200,0.9800,0.9800,57.4,0.0200,2.04,194,3182,3376,-0.8853,186,DOWN,YES,+0.0200
2026-02-05T13:00:00,XRP15m,2026-02-05T13:13:02.574000,DOWN,0.0400,0.9600,0.9600,117.4,0.0200,2.08,4112,5108,9219,-0.1080,189,DOWN,YES,+0.0400
2026-02-05T13:15:00,XRP15m,2026-02-05T13:26:35.850000,UP,0.9700,0.9700,0.9700,204.2,0.0200,2.06,2043,1063,3105,0.3157,176,UP,YES,+0.0300
2026-02-05T13:30:00,XRP15m,2026-02-05T13:43:00.176000,DOWN,0.0250,0.9750,0.9750,119.8,0.0100,1.03,3075,4197,7272,-0.1543,199,DOWN,YES,+0.0250
2026-02-05T13:45:00,XRP15m,2026-02-05T13:58:59.419000,DOWN,0.0500,0.9500,0.9500,60.6,0.0200,2.11,3169,3753,6923,-0.0844,187,DOWN,YES,+0.0500
