window_start,market,side,entry_price,original_outcome,original_won,original_pnl,exit_triggered,exit_action,exit_reason,exit_price,defense_pnl,defense_saved,flip_triggered,flip_side,flip_pnl
2026-02-06T19:00:00,ETH15m,DOWN,0.9645,DOWN,YES,+0.0355,YES,EXIT_TIME,time_exit:remaining=58s_prob=90%,0.8950,-0.0695,,NO,,
2026-02-06T19:15:00,ETH15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-06T19:30:00,ETH15m,UP,0.9925,UP,YES,+0.0075,NO,,,,,,NO,,
2026-02-06T19:45:00,ETH15m,UP,0.9550,UP,YES,+0.0450,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:-0.557+prob_dropping:88%,0.8750,-0.0800,,NO,,
2026-02-06T20:00:00,ETH15m,DOWN,0.9650,DOWN,YES,+0.0350,NO,,,,,,NO,,
2026-02-06T20:30:00,ETH15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-06T21:00:00,ETH15m,DOWN,0.9750,DOWN,YES,+0.0250,NO,,,,,,NO,,
2026-02-06T21:15:00,ETH15m,DOWN,0.9500,DOWN,YES,+0.0500,NO,,,,,,NO,,
2026-02-06T21:30:00,ETH15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-06T21:45:00,ETH15m,UP,0.9895,UP,YES,+0.0105,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:-0.728+prob_dropping:86%,0.8645,-0.1250,,NO,,
2026-02-06T22:00:00,ETH15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-06T22:15:00,ETH15m,UP,0.9850,UP,YES,+0.0150,NO,,,,,,NO,,
2026-02-06T22:30:00,ETH15m,UP,0.9750,UP,YES,+0.0250,NO,,,,,,NO,,
2026-02-06T22:45:00,ETH15m,UP,0.9890,UP,YES,+0.0110,NO,,,,,,NO,,
2026-02-06T23:30:00,ETH15m,DOWN,0.9550,DOWN,YES,+0.0450,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:+0.390+prob_dropping:88%,0.8750,-0.0800,,NO,,
2026-02-07T00:00:00,ETH15m,UP,0.9850,UP,YES,+0.0150,YES,FLIP,flip:4/5_signals,0.9890,+0.0040,,YES,DOWN,-0.4945
2026-02-07T00:15:00,ETH15m,UP,0.9550,UP,YES,+0.0450,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:-0.496+prob_dropping:86%,0.8600,-0.0950,,NO,,
2026-02-07T00:30:00,ETH15m,DOWN,0.9550,UP,NO,-0.9550,YES,EXIT_TIME,time_exit:remaining=8s_prob=76%,0.7600,-0.1950,+0.7600,NO,,
2026-02-07T01:00:00,ETH15m,UP,0.9750,UP,YES,+0.0250,NO,,,,,,NO,,
2026-02-07T01:15:00,ETH15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-07T01:30:00,ETH15m,DOWN,0.9650,DOWN,YES,+0.0350,NO,,,,,,NO,,
2026-02-07T01:45:00,ETH15m,UP,0.9850,UP,YES,+0.0150,NO,,,,,,NO,,
2026-02-07T02:00:00,ETH15m,UP,0.9850,UP,YES,+0.0150,NO,,,,,,NO,,
2026-02-07T02:45:00,ETH15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-07T03:00:00,ETH15m,UP,0.9650,DOWN,NO,-0.9650,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:-0.375+prob_dropping:86%,0.8650,-0.1000,+0.8650,NO,,
2026-02-07T03:15:00,ETH15m,DOWN,0.9650,DOWN,YES,+0.0350,NO,,,,,,NO,,
2026-02-07T03:30:00,ETH15m,UP,0.9550,DOWN,NO,-0.9550,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:-0.451+prob_dropping:90%,0.8950,-0.0600,+0.8950,NO,,
2026-02-07T03:45:00,ETH15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-07T04:00:00,ETH15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-07T04:15:00,ETH15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-07T04:30:00,ETH15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-07T04:45:00,ETH15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-07T06:00:00,ETH15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-07T06:15:00,ETH15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-07T06:30:00,ETH15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-07T07:00:00,ETH15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-07T07:15:00,ETH15m,UP,0.9750,UP,YES,+0.0250,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:-0.569+prob_dropping:86%,0.8650,-0.1100,,NO,,
2026-02-07T07:30:00,ETH15m,DOWN,0.9650,DOWN,YES,+0.0350,NO,,,,,,NO,,
2026-02-07T07:45:00,ETH15m,UP,0.9550,UP,YES,+0.0450,YES,FLIP,flip:4/5_signals,0.9350,-0.0200,,YES,DOWN,-0.4675
2026-02-07T08:15:00,ETH15m,DOWN,0.9550,DOWN,YES,+0.0450,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:+0.434+prob_dropping:84%,0.8350,-0.1200,,NO,,
2026-02-07T08:45:00,ETH15m,UP,0.9850,UP,YES,+0.0150,NO,,,,,,NO,,
2026-02-07T09:00:00,ETH15m,UP,0.9850,UP,YES,+0.0150,NO,,,,,,NO,,
2026-02-07T09:15:00,ETH15m,UP,0.9855,UP,YES,+0.0145,NO,,,,,,NO,,
2026-02-07T09:30:00,ETH15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-07T10:15:00,ETH15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-07T10:30:00,ETH15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-07T10:45:00,ETH15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-07T11:00:00,ETH15m,UP,0.9550,UP,YES,+0.0450,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:-0.384+prob_dropping:86%,0.8650,-0.0900,,NO,,
2026-02-07T11:15:00,ETH15m,UP,0.9550,DOWN,NO,-0.9550,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:-0.606+prob_dropping:86%,0.8650,-0.0900,+0.8650,NO,,
2026-02-07T11:30:00,ETH15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-07T11:45:00,ETH15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-07T12:00:00,ETH15m,UP,0.9695,UP,YES,+0.0305,NO,,,,,,NO,,
2026-02-07T12:15:00,ETH15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-07T12:45:00,ETH15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-07T13:45:00,ETH15m,DOWN,0.9750,DOWN,YES,+0.0250,NO,,,,,,NO,,
