timestamp,datetime,market,side,entry_price,prob,remaining_s,score,confidence,result,won,pnl
01:11:25,Feb 08 01:11:25,ETH15m,DOWN,0.0250,97.5%,215,0.64,unknown,UP,NO,-5.00
01:11:25,Feb 08 01:11:25,SOL15m,DOWN,0.0250,97.5%,215,0.66,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:26,Feb 08 01:11:26,BTC15m,DOWN,0.0250,97.5%,214,0.63,unknown,UP,NO,-5.00
01:11:26,Feb 08 01:11:26,ETH15m,DOWN,0.0250,97.5%,214,0.64,unknown,UP,NO,-5.00
01:11:26,Feb 08 01:11:26,SOL15m,DOWN,0.0250,97.5%,214,0.65,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:27,Feb 08 01:11:27,BTC15m,DOWN,0.0250,97.5%,213,0.65,unknown,UP,NO,-5.00
01:11:27,Feb 08 01:11:27,ETH15m,DOWN,0.0250,97.5%,213,0.64,unknown,UP,NO,-5.00
01:11:27,Feb 08 01:11:27,SOL15m,DOWN,0.0250,97.5%,213,0.65,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:28,Feb 08 01:11:28,BTC15m,DOWN,0.0250,97.5%,213,0.64,unknown,UP,NO,-5.00
01:11:28,Feb 08 01:11:28,ETH15m,DOWN,0.0250,97.5%,213,0.64,unknown,UP,NO,-5.00
01:11:28,Feb 08 01:11:28,SOL15m,DOWN,0.0250,97.5%,213,0.65,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:29,Feb 08 01:11:29,BTC15m,DOWN,0.0250,97.5%,211,0.64,unknown,UP,NO,-5.00
01:11:29,Feb 08 01:11:29,ETH15m,DOWN,0.0250,97.5%,211,0.64,unknown,UP,NO,-5.00
01:11:29,Feb 08 01:11:29,SOL15m,DOWN,0.0250,97.5%,211,0.66,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:30,Feb 08 01:11:30,BTC15m,DOWN,0.0250,97.5%,210,0.64,unknown,UP,NO,-5.00
01:11:30,Feb 08 01:11:30,ETH15m,DOWN,0.0250,97.5%,210,0.64,unknown,UP,NO,-5.00
01:11:30,Feb 08 01:11:30,SOL15m,DOWN,0.0250,97.5%,210,0.65,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:31,Feb 08 01:11:31,BTC15m,DOWN,0.0250,97.5%,209,0.69,unknown,UP,NO,-5.00
01:11:31,Feb 08 01:11:31,ETH15m,DOWN,0.0250,97.5%,209,0.66,unknown,UP,NO,-5.00
01:11:31,Feb 08 01:11:31,SOL15m,DOWN,0.0250,97.5%,209,0.66,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:32,Feb 08 01:11:32,BTC15m,DOWN,0.0250,97.5%,209,0.67,unknown,UP,NO,-5.00
01:11:32,Feb 08 01:11:32,ETH15m,DOWN,0.0250,97.5%,208,0.66,unknown,UP,NO,-5.00
01:11:32,Feb 08 01:11:32,SOL15m,DOWN,0.0250,97.5%,208,0.68,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:33,Feb 08 01:11:33,BTC15m,DOWN,0.0250,97.5%,207,0.67,unknown,UP,NO,-5.00
01:11:33,Feb 08 01:11:33,ETH15m,DOWN,0.0250,97.5%,207,0.65,unknown,UP,NO,-5.00
01:11:33,Feb 08 01:11:33,SOL15m,DOWN,0.0250,97.5%,207,0.67,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:34,Feb 08 01:11:34,BTC15m,DOWN,0.0250,97.5%,207,0.67,unknown,UP,NO,-5.00
01:11:34,Feb 08 01:11:34,ETH15m,DOWN,0.0250,97.5%,207,0.65,unknown,UP,NO,-5.00
01:11:34,Feb 08 01:11:34,SOL15m,DOWN,0.0250,97.5%,207,0.67,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:35,Feb 08 01:11:35,BTC15m,DOWN,0.0250,97.5%,205,0.66,unknown,UP,NO,-5.00
01:11:35,Feb 08 01:11:35,ETH15m,DOWN,0.0250,97.5%,205,0.65,unknown,UP,NO,-5.00
01:11:35,Feb 08 01:11:35,SOL15m,DOWN,0.0250,97.5%,205,0.67,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:36,Feb 08 01:11:36,BTC15m,DOWN,0.0250,97.5%,204,0.66,unknown,UP,NO,-5.00
01:11:36,Feb 08 01:11:36,ETH15m,DOWN,0.0250,97.5%,204,0.65,unknown,UP,NO,-5.00
01:11:36,Feb 08 01:11:36,SOL15m,DOWN,0.0250,97.5%,204,0.67,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:37,Feb 08 01:11:37,BTC15m,DOWN,0.0250,97.5%,203,0.66,unknown,UP,NO,-5.00
01:11:37,Feb 08 01:11:37,ETH15m,DOWN,0.0250,97.5%,203,0.65,unknown,UP,NO,-5.00
01:11:37,Feb 08 01:11:37,SOL15m,DOWN,0.0250,97.5%,203,0.68,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:38,Feb 08 01:11:38,BTC15m,DOWN,0.0250,97.5%,202,0.66,unknown,UP,NO,-5.00
01:11:38,Feb 08 01:11:38,ETH15m,DOWN,0.0250,97.5%,202,0.66,unknown,UP,NO,-5.00
01:11:38,Feb 08 01:11:38,SOL15m,DOWN,0.0250,97.5%,202,0.67,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:39,Feb 08 01:11:39,BTC15m,DOWN,0.0250,97.5%,201,0.67,unknown,UP,NO,-5.00
01:11:39,Feb 08 01:11:39,ETH15m,DOWN,0.0350,96.5%,201,0.69,unknown,UP,NO,-5.00
01:11:39,Feb 08 01:11:39,SOL15m,DOWN,0.0300,97.0%,201,0.71,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:40,Feb 08 01:11:40,BTC15m,DOWN,0.0250,97.5%,200,0.67,unknown,UP,NO,-5.00
01:11:40,Feb 08 01:11:40,ETH15m,DOWN,0.0350,96.5%,200,0.69,unknown,UP,NO,-5.00
01:11:40,Feb 08 01:11:40,SOL15m,DOWN,0.0250,97.5%,200,0.66,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:41,Feb 08 01:11:41,BTC15m,DOWN,0.0250,97.5%,199,0.67,unknown,UP,NO,-5.00
01:11:41,Feb 08 01:11:41,ETH15m,DOWN,0.0350,96.5%,199,0.70,unknown,UP,NO,-5.00
01:11:41,Feb 08 01:11:41,SOL15m,DOWN,0.0250,97.5%,199,0.63,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:42,Feb 08 01:11:42,BTC15m,DOWN,0.0250,97.5%,198,0.68,unknown,UP,NO,-5.00
01:11:42,Feb 08 01:11:42,ETH15m,DOWN,0.0350,96.5%,198,0.69,unknown,UP,NO,-5.00
01:11:42,Feb 08 01:11:42,SOL15m,DOWN,0.0250,97.5%,198,0.67,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:43,Feb 08 01:11:43,BTC15m,DOWN,0.0250,97.5%,197,0.67,unknown,UP,NO,-5.00
01:11:43,Feb 08 01:11:43,ETH15m,DOWN,0.0250,97.5%,197,0.66,unknown,UP,NO,-5.00
